servername,gamescore,servePointProbability
Roberto Bautista Agut,40-15,.81578946
Roberto Bautista Agut,40-30,.72222221
Roberto Bautista Agut,40-40,.7096774
Roberto Bautista Agut,40-50,.8888889
Roberto Bautista Agut,50-40,.68181819
Austin Krajicek,0-0,.68372095
Austin Krajicek,0-15,.66176468
Austin Krajicek,0-30,.73913044
Austin Krajicek,0-40,.66666669
Austin Krajicek,15-0,.70748299
Austin Krajicek,15-15,.61363637
Austin Krajicek,15-30,.70588237
Austin Krajicek,15-40,.63157892
Austin Krajicek,30-0,.66346157
Austin Krajicek,30-15,.6179775
Austin Krajicek,30-30,.64285713
Austin Krajicek,30-40,.64864862
Austin Krajicek,40-0,.69565219
Austin Krajicek,40-15,.75
Austin Krajicek,40-30,.625
Austin Krajicek,40-40,.72619045
Austin Krajicek,40-50,.60869563
Austin Krajicek,50-40,.63934427
Jose (Rubin) Statham,0-0,.80000001
Jose (Rubin) Statham,0-15,.5
Jose (Rubin) Statham,0-30,1
Jose (Rubin) Statham,15-0,.5
Jose (Rubin) Statham,15-15,.2
Jose (Rubin) Statham,15-30,.40000001
Jose (Rubin) Statham,15-40,.66666669
Jose (Rubin) Statham,30-0,1
Jose (Rubin) Statham,30-15,0
Jose (Rubin) Statham,30-30,.33333334
Jose (Rubin) Statham,30-40,.25
Jose (Rubin) Statham,40-0,.5
Jose (Rubin) Statham,40-15,0
Jose (Rubin) Statham,40-30,1
Jose (Rubin) Statham,40-40,1
Jose (Rubin) Statham,50-40,1
Nicolas Almagro,0-0,.63157892
Nicolas Almagro,0-15,.58441556
Nicolas Almagro,0-30,.703125
Nicolas Almagro,0-40,.47368422
Nicolas Almagro,15-0,.64772725
Nicolas Almagro,15-15,.66666669
Nicolas Almagro,15-30,.66037738
Nicolas Almagro,15-40,.51111114
Nicolas Almagro,30-0,.64327484
Nicolas Almagro,30-15,.64480877
Nicolas Almagro,30-30,.5925926
Nicolas Almagro,30-40,.67948717
Nicolas Almagro,40-0,.62727273
Nicolas Almagro,40-15,.70440251
Nicolas Almagro,40-30,.74015749
Nicolas Almagro,40-40,.63428569
Nicolas Almagro,40-50,.578125
Nicolas Almagro,50-40,.53153151
India Doubles,0-0,.5
India Doubles,0-15,.5714286
India Doubles,0-30,.66666669
India Doubles,0-40,1
India Doubles,15-0,.2857143
India Doubles,15-15,.33333334
India Doubles,15-30,.625
India Doubles,15-40,.75
India Doubles,30-0,1
India Doubles,30-15,.33333334
India Doubles,30-30,.71428573
India Doubles,30-40,.40000001
India Doubles,40-0,.5
India Doubles,40-15,1
India Doubles,40-30,.60000002
India Doubles,40-40,.33333334
India Doubles,40-50,.25
India Doubles,50-40,.5
Wil Spencer,0-0,.60000002
Wil Spencer,0-15,.83333331
Wil Spencer,0-30,0
Wil Spencer,0-40,0
Wil Spencer,15-0,.8888889
Wil Spencer,15-15,.5
Wil Spencer,15-30,1
Wil Spencer,30-0,.875
Wil Spencer,30-15,.5
Wil Spencer,30-30,1
Wil Spencer,40-0,.5714286
Wil Spencer,40-15,.60000002
Wil Spencer,40-30,.42857143
Wil Spencer,40-40,.42857143
Wil Spencer,40-50,.5
Wil Spencer,50-40,.66666669
Tim Puetz,0-0,.68965518
Tim Puetz,0-15,.77777779
Tim Puetz,0-30,.5
Tim Puetz,0-40,1
Tim Puetz,15-0,.64999998
Tim Puetz,15-15,.5
Tim Puetz,15-30,.75
Tim Puetz,15-40,.66666669
Tim Puetz,30-0,.76923078
Tim Puetz,30-15,.69999999
Tim Puetz,30-30,.44444445
Tim Puetz,30-40,.5714286
Tim Puetz,40-0,.80000001
Tim Puetz,40-15,.44444445
Tim Puetz,40-30,.66666669
Tim Puetz,40-40,.58823532
Tim Puetz,40-50,.71428573
Tim Puetz,50-40,.5
Marco Cecchinato,0-0,.56716418
Marco Cecchinato,0-15,.51724136
Marco Cecchinato,0-30,.85714287
Marco Cecchinato,0-40,0
Marco Cecchinato,15-0,.81578946
Marco Cecchinato,15-15,.45454547
Marco Cecchinato,15-30,.66666669
Marco Cecchinato,15-40,.25
Marco Cecchinato,30-0,.7096774
Marco Cecchinato,30-15,.7368421
Marco Cecchinato,30-30,.90476191
Marco Cecchinato,30-40,.75
Marco Cecchinato,40-0,.63636363
Marco Cecchinato,40-15,.63636363
Marco Cecchinato,40-30,.4074074
Marco Cecchinato,40-40,.63636363
Marco Cecchinato,40-50,.5
Marco Cecchinato,50-40,.61904764
Kevin King,0-0,.30000001
Kevin King,0-15,.42857143
Kevin King,0-30,.75
Kevin King,0-40,1
Kevin King,15-0,.66666669
Kevin King,15-15,.5
Kevin King,15-30,.40000001
Kevin King,15-40,.75
Kevin King,30-0,.5
Kevin King,30-15,.66666669
Kevin King,30-30,.66666669
Kevin King,30-40,.75
Kevin King,40-0,1
Kevin King,40-15,1
Kevin King,40-30,1
Kevin King,40-40,.60000002
Kevin King,40-50,.5
Kevin King,50-40,.66666669
Jack Sock,0-0,.66164154
Jack Sock,0-15,.60891092
Jack Sock,0-30,.58227849
Jack Sock,0-40,.57575756
Jack Sock,15-0,.6708861
Jack Sock,15-15,.66798419
Jack Sock,15-30,.62307692
Jack Sock,15-40,.69117647
Jack Sock,30-0,.66792452
Jack Sock,30-15,.62645912
Jack Sock,30-30,.69491524
Jack Sock,30-40,.60396039
Jack Sock,40-0,.67231637
Jack Sock,40-15,.63926941
Jack Sock,40-30,.69306928
Jack Sock,40-40,.61233479
Jack Sock,40-50,.65909094
Jack Sock,50-40,.66906476
Jared Donaldson,0-0,.69230771
Jared Donaldson,0-15,.69444442
Jared Donaldson,0-30,.72727275
Jared Donaldson,0-40,.66666669
Jared Donaldson,15-0,.66666669
Jared Donaldson,15-15,.61538464
Jared Donaldson,15-30,.4642857
Jared Donaldson,15-40,.58823532
Jared Donaldson,30-0,.7962963
Jared Donaldson,30-15,.72093022
Jared Donaldson,30-30,.72000003
Jared Donaldson,30-40,.29411766
Jared Donaldson,40-0,.62790698
Jared Donaldson,40-15,.63829786
Jared Donaldson,40-30,.60000002
Jared Donaldson,40-40,.56756759
Jared Donaldson,40-50,.5625
Jared Donaldson,50-40,.5714286
Go Soeda,0-0,.55607474
Go Soeda,0-15,.55789477
Go Soeda,0-30,.69047618
Go Soeda,0-40,.53846157
Go Soeda,15-0,.54621851
Go Soeda,15-15,.65420562
Go Soeda,15-30,.5
Go Soeda,15-40,.52499998
Go Soeda,30-0,.64615387
Go Soeda,30-15,.61290324
Go Soeda,30-30,.53623188
Go Soeda,30-40,.6981132
Go Soeda,40-0,.66666669
Go Soeda,40-15,.81690139
Go Soeda,40-30,.62
Go Soeda,40-40,.64705884
Go Soeda,40-50,.46666667
Go Soeda,50-40,.72727275
Albert Ramos-Vinolas,0-0,.58035713
Albert Ramos-Vinolas,0-15,.61702126
Albert Ramos-Vinolas,0-30,.3611111
Albert Ramos-Vinolas,0-40,.69565219
Albert Ramos-Vinolas,15-0,.66153848
Albert Ramos-Vinolas,15-15,.56862748
Albert Ramos-Vinolas,15-30,.59649122
Albert Ramos-Vinolas,15-40,.66666669
Albert Ramos-Vinolas,30-0,.72093022
Albert Ramos-Vinolas,30-15,.67073172
Albert Ramos-Vinolas,30-30,.63934427
Albert Ramos-Vinolas,30-40,.5625
Albert Ramos-Vinolas,40-0,.67741936
Albert Ramos-Vinolas,40-15,.63999999
Albert Ramos-Vinolas,40-30,.530303
Albert Ramos-Vinolas,40-40,.58974361
Albert Ramos-Vinolas,40-50,.64583331
Albert Ramos-Vinolas,50-40,.59420288
Andre Ghem,0-0,.60000002
Andre Ghem,0-15,.75
Andre Ghem,0-30,0
Andre Ghem,0-40,1
Andre Ghem,15-0,.83333331
Andre Ghem,15-15,.75
Andre Ghem,15-30,0
Andre Ghem,15-40,.5
Andre Ghem,30-0,.80000001
Andre Ghem,30-15,.75
Andre Ghem,30-30,1
Andre Ghem,30-40,0
Andre Ghem,40-0,.75
Andre Ghem,40-15,.5
Andre Ghem,40-30,.66666669
Andre Ghem,40-40,0
Andre Ghem,40-50,0
Sekou Bangoura,0-0,.625
Sekou Bangoura,0-15,1
Sekou Bangoura,15-0,.60000002
Sekou Bangoura,15-15,1
Sekou Bangoura,30-0,.66666669
Sekou Bangoura,30-15,.83333331
Sekou Bangoura,30-30,1
Sekou Bangoura,40-0,.5
Sekou Bangoura,40-15,.5
Sekou Bangoura,40-30,.75
Sekou Bangoura,40-40,1
Sekou Bangoura,50-40,.5
Netherlands Doubles,0-0,.58333331
Netherlands Doubles,0-15,.69999999
Netherlands Doubles,0-30,.66666669
Netherlands Doubles,0-40,1
Netherlands Doubles,15-0,.5714286
Netherlands Doubles,15-15,.69230771
Netherlands Doubles,15-30,.5
Netherlands Doubles,15-40,.5
Netherlands Doubles,30-0,.875
Netherlands Doubles,30-15,.80000001
Netherlands Doubles,30-30,.60000002
Netherlands Doubles,30-40,1
Netherlands Doubles,40-0,.85714287
Netherlands Doubles,40-15,.55555558
Netherlands Doubles,40-30,.85714287
Netherlands Doubles,40-40,.75
Netherlands Doubles,40-50,.5
Netherlands Doubles,50-40,.66666669
Tomas Berdych,0-0,.66744733
Tomas Berdych,0-15,.58450705
Tomas Berdych,0-30,.67796612
Tomas Berdych,0-40,.55263156
Tomas Berdych,15-0,.68596494
Tomas Berdych,15-15,.68405795
Tomas Berdych,15-30,.65608466
Tomas Berdych,15-40,.63953489
Tomas Berdych,30-0,.685422
Tomas Berdych,30-15,.66573817
Tomas Berdych,30-30,.74180329
Tomas Berdych,30-40,.59322035
Tomas Berdych,40-0,.70149255
Tomas Berdych,40-15,.6865204
Tomas Berdych,40-30,.64056939
Tomas Berdych,40-40,.6875
Tomas Berdych,40-50,.56842107
Tomas Berdych,50-40,.62200958
James Ward,0-0,.63470322
James Ward,0-15,.58749998
James Ward,0-30,.75757575
James Ward,0-40,.625
James Ward,15-0,.62589926
James Ward,15-15,.63636363
James Ward,15-30,.52459013
James Ward,15-40,.64705884
James Ward,30-0,.67816091
James Ward,30-15,.74725276
James Ward,30-30,.67272729
James Ward,30-40,.60000002
James Ward,40-0,.71186441
James Ward,40-15,.67058825
James Ward,40-30,.63076925
James Ward,40-40,.69565219
James Ward,40-50,.47619048
James Ward,50-40,.77083331
Hyeon Chung,0-0,.67512691
Hyeon Chung,0-15,.609375
Hyeon Chung,0-30,.60000002
Hyeon Chung,0-40,.80000001
Hyeon Chung,15-0,.67669171
Hyeon Chung,15-15,.597561
Hyeon Chung,15-30,.66666669
Hyeon Chung,15-40,.54166669
Hyeon Chung,30-0,.68888891
Hyeon Chung,30-15,.6883117
Hyeon Chung,30-30,.64285713
Hyeon Chung,30-40,.54545456
Hyeon Chung,40-0,.64516127
Hyeon Chung,40-15,.68000001
Hyeon Chung,40-30,.63333333
Hyeon Chung,40-40,.67123288
Hyeon Chung,40-50,.45833334
Hyeon Chung,50-40,.55102038
Philipp Kohlschreiber,0-0,.64610392
Philipp Kohlschreiber,0-15,.62844038
Philipp Kohlschreiber,0-30,.56790125
Philipp Kohlschreiber,0-40,.60000002
Philipp Kohlschreiber,15-0,.68844223
Philipp Kohlschreiber,15-15,.61685824
Philipp Kohlschreiber,15-30,.60273975
Philipp Kohlschreiber,15-40,.51898736
Philipp Kohlschreiber,30-0,.7116788
Philipp Kohlschreiber,30-15,.65416664
Philipp Kohlschreiber,30-30,.63157892
Philipp Kohlschreiber,30-40,.60576922
Philipp Kohlschreiber,40-0,.71282053
Philipp Kohlschreiber,40-15,.713615
Philipp Kohlschreiber,40-30,.69230771
Philipp Kohlschreiber,40-40,.67821783
Philipp Kohlschreiber,40-50,.61538464
Philipp Kohlschreiber,50-40,.65693432
Norbert Gombos,0-0,.60869563
Norbert Gombos,0-15,.5
Norbert Gombos,0-30,.66666669
Norbert Gombos,0-40,.33333334
Norbert Gombos,15-0,.60714287
Norbert Gombos,15-15,.5
Norbert Gombos,15-30,.625
Norbert Gombos,15-40,.85714287
Norbert Gombos,30-0,.7647059
Norbert Gombos,30-15,.5714286
Norbert Gombos,30-30,.8125
Norbert Gombos,30-40,.55555558
Norbert Gombos,40-0,.76923078
Norbert Gombos,40-15,.36363637
Norbert Gombos,40-30,.55000001
Norbert Gombos,40-40,.5714286
Norbert Gombos,40-50,.22222222
Norbert Gombos,50-40,.58333331
David Guez,0-0,.76923078
David Guez,0-15,.66666669
David Guez,0-30,1
David Guez,15-0,.60000002
David Guez,15-15,.5
David Guez,15-30,.75
David Guez,15-40,0
David Guez,30-0,.66666669
David Guez,30-15,.60000002
David Guez,30-30,.60000002
David Guez,30-40,.5
David Guez,40-0,.5
David Guez,40-15,.60000002
David Guez,40-30,.60000002
David Guez,40-40,.83333331
David Guez,40-50,0
David Guez,50-40,.40000001
Paolo Lorenzi,0-0,.63984674
Paolo Lorenzi,0-15,.57446808
Paolo Lorenzi,0-30,.55000001
Paolo Lorenzi,0-40,.44444445
Paolo Lorenzi,15-0,.58682632
Paolo Lorenzi,15-15,.55284554
Paolo Lorenzi,15-30,.62337661
Paolo Lorenzi,15-40,.56756759
Paolo Lorenzi,30-0,.70408165
Paolo Lorenzi,30-15,.59793812
Paolo Lorenzi,30-30,.65517241
Paolo Lorenzi,30-40,.49019608
Paolo Lorenzi,40-0,.66666669
Paolo Lorenzi,40-15,.65432101
Paolo Lorenzi,40-30,.7647059
Paolo Lorenzi,40-40,.60215056
Paolo Lorenzi,40-50,.56756759
Paolo Lorenzi,50-40,.51785713
Maximo Gonzalez,0-0,.51851851
Maximo Gonzalez,0-15,.53846157
Maximo Gonzalez,0-30,.58333331
Maximo Gonzalez,0-40,.2
Maximo Gonzalez,15-0,.39285713
Maximo Gonzalez,15-15,.67741936
Maximo Gonzalez,15-30,.52941179
Maximo Gonzalez,15-40,.77777779
Maximo Gonzalez,30-0,.72727275
Maximo Gonzalez,30-15,.45833334
Maximo Gonzalez,30-30,.54545456
Maximo Gonzalez,30-40,.52941179
Maximo Gonzalez,40-0,.625
Maximo Gonzalez,40-15,.71428573
Maximo Gonzalez,40-30,.5
Maximo Gonzalez,40-40,.38709676
Maximo Gonzalez,40-50,.47368422
Maximo Gonzalez,50-40,.58333331
Chase Buchanan,0-0,.55555558
Chase Buchanan,0-15,.25
Chase Buchanan,0-30,.66666669
Chase Buchanan,0-40,0
Chase Buchanan,15-0,1
Chase Buchanan,15-15,1
Chase Buchanan,15-30,.5
Chase Buchanan,15-40,0
Chase Buchanan,30-0,.60000002
Chase Buchanan,30-15,.66666669
Chase Buchanan,30-30,.5
Chase Buchanan,30-40,1
Chase Buchanan,40-0,.66666669
Chase Buchanan,40-15,.66666669
Chase Buchanan,40-30,0
Chase Buchanan,40-40,.71428573
Chase Buchanan,40-50,.5
Chase Buchanan,50-40,.40000001
Andrea Arnaboldi,0-0,.48101267
Andrea Arnaboldi,0-15,.56097561
Andrea Arnaboldi,0-30,.6111111
Andrea Arnaboldi,0-40,.71428573
Andrea Arnaboldi,15-0,.68421054
Andrea Arnaboldi,15-15,.6857143
Andrea Arnaboldi,15-30,.72727275
Andrea Arnaboldi,15-40,.72727275
Andrea Arnaboldi,30-0,.57692307
Andrea Arnaboldi,30-15,.65714288
Andrea Arnaboldi,30-30,.60714287
Andrea Arnaboldi,30-40,.68421054
Andrea Arnaboldi,40-0,.60000002
Andrea Arnaboldi,40-15,.58620691
Andrea Arnaboldi,40-30,.7241379
Andrea Arnaboldi,40-40,.48979592
Andrea Arnaboldi,40-50,.68000001
Andrea Arnaboldi,50-40,.54166669
Nicolas Jarry,0-0,.66666669
Nicolas Jarry,0-15,.71428573
Nicolas Jarry,0-30,.5
Nicolas Jarry,0-40,1
Nicolas Jarry,15-0,.78571427
Nicolas Jarry,15-15,.75
Nicolas Jarry,15-30,.5
Nicolas Jarry,15-40,.40000001
Nicolas Jarry,30-0,.59090906
Nicolas Jarry,30-15,.66666669
Nicolas Jarry,30-30,.69999999
Nicolas Jarry,30-40,.80000001
Nicolas Jarry,40-0,.92307693
Nicolas Jarry,40-15,.73333335
Nicolas Jarry,40-30,.72727275
Nicolas Jarry,40-40,.47826087
Nicolas Jarry,40-50,.83333331
Nicolas Jarry,50-40,.45454547
Sam Querrey,0-0,.72893775
Sam Querrey,0-15,.68243241
Sam Querrey,0-30,.70212764
Sam Querrey,0-40,.71428573
Sam Querrey,15-0,.66582912
Sam Querrey,15-15,.66666669
Sam Querrey,15-30,.63963962
Sam Querrey,15-40,.60000002
Sam Querrey,30-0,.71698111
Sam Querrey,30-15,.70562768
Sam Querrey,30-30,.72661871
Sam Querrey,30-40,.61764705
Sam Querrey,40-0,.72105265
Sam Querrey,40-15,.7175926
Sam Querrey,40-30,.64197528
Sam Querrey,40-40,.64117646
Sam Querrey,40-50,.59016395
Sam Querrey,50-40,.6880734
Ramkumar Ramanathan,0-0,.64705884
Ramkumar Ramanathan,0-15,.5
Ramkumar Ramanathan,0-30,.66666669
Ramkumar Ramanathan,0-40,0
Ramkumar Ramanathan,15-0,.45454547
Ramkumar Ramanathan,15-15,.44444445
Ramkumar Ramanathan,15-30,.71428573
Ramkumar Ramanathan,15-40,1
Ramkumar Ramanathan,30-0,.40000001
Ramkumar Ramanathan,30-15,.2857143
Ramkumar Ramanathan,30-30,.5
Ramkumar Ramanathan,30-40,.42857143
Ramkumar Ramanathan,40-0,1
Ramkumar Ramanathan,40-15,.5
Ramkumar Ramanathan,40-30,.16666667
Ramkumar Ramanathan,40-40,.63157892
Ramkumar Ramanathan,40-50,.71428573
Ramkumar Ramanathan,50-40,.5
Steve Johnson,0-0,.69416243
Steve Johnson,0-15,.63900417
Steve Johnson,0-30,.68965518
Steve Johnson,0-40,.66666669
Steve Johnson,15-0,.66179156
Steve Johnson,15-15,.66076696
Steve Johnson,15-30,.70857143
Steve Johnson,15-40,.55072463
Steve Johnson,30-0,.65193373
Steve Johnson,30-15,.6314286
Steve Johnson,30-30,.65217394
Steve Johnson,30-40,.57936507
Steve Johnson,40-0,.68644071
Steve Johnson,40-15,.70847458
Steve Johnson,40-30,.62948209
Steve Johnson,40-40,.59375
Steve Johnson,40-50,.65384614
Steve Johnson,50-40,.63684213
Paul-Henri Mathieu,0-0,.61666667
Paul-Henri Mathieu,0-15,.49275362
Paul-Henri Mathieu,0-30,.54285717
Paul-Henri Mathieu,0-40,.625
Paul-Henri Mathieu,15-0,.65765768
Paul-Henri Mathieu,15-15,.6111111
Paul-Henri Mathieu,15-30,.72340423
Paul-Henri Mathieu,15-40,.56521738
Paul-Henri Mathieu,30-0,.73972601
Paul-Henri Mathieu,30-15,.53968257
Paul-Henri Mathieu,30-30,.66666669
Paul-Henri Mathieu,30-40,.47058824
Paul-Henri Mathieu,40-0,.64814812
Paul-Henri Mathieu,40-15,.67924529
Paul-Henri Mathieu,40-30,.59322035
Paul-Henri Mathieu,40-40,.55844158
Paul-Henri Mathieu,40-50,.58823532
Paul-Henri Mathieu,50-40,.60465115
Stan Wawrinka,0-0,.65929204
Stan Wawrinka,0-15,.65584415
Stan Wawrinka,0-30,.67924529
Stan Wawrinka,0-40,.52941179
Stan Wawrinka,15-0,.6510067
Stan Wawrinka,15-15,.67317075
Stan Wawrinka,15-30,.62621361
Stan Wawrinka,15-40,.66315788
Stan Wawrinka,30-0,.70618558
Stan Wawrinka,30-15,.70769233
Stan Wawrinka,30-30,.67901236
Stan Wawrinka,30-40,.61702126
Stan Wawrinka,40-0,.71897811
Stan Wawrinka,40-15,.69405097
Stan Wawrinka,40-30,.65567768
Stan Wawrinka,40-40,.68091166
Stan Wawrinka,40-50,.64285713
Stan Wawrinka,50-40,.58995813
Maximilian Marterer,0-0,.625
Maximilian Marterer,0-15,.8888889
Maximilian Marterer,0-30,0
Maximilian Marterer,0-40,1
Maximilian Marterer,15-0,.80000001
Maximilian Marterer,15-15,.54545456
Maximilian Marterer,15-30,.60000002
Maximilian Marterer,15-40,1
Maximilian Marterer,30-0,.66666669
Maximilian Marterer,30-15,.69999999
Maximilian Marterer,30-30,.83333331
Maximilian Marterer,30-40,1
Maximilian Marterer,40-0,.875
Maximilian Marterer,40-15,.75
Maximilian Marterer,40-30,.5714286
Maximilian Marterer,40-40,1
Maximilian Marterer,50-40,1
Quentin Halys,0-0,.42307693
Quentin Halys,0-15,.40000001
Quentin Halys,0-30,.66666669
Quentin Halys,0-40,.66666669
Quentin Halys,15-0,.45454547
Quentin Halys,15-15,.75
Quentin Halys,15-30,.44444445
Quentin Halys,15-40,.42857143
Quentin Halys,30-0,.40000001
Quentin Halys,30-15,.75
Quentin Halys,30-30,.5714286
Quentin Halys,30-40,1
Quentin Halys,40-0,.5
Quentin Halys,40-15,.60000002
Quentin Halys,40-30,.75
Quentin Halys,40-40,.90909094
Quentin Halys,40-50,1
Quentin Halys,50-40,.80000001
Lleyton Hewitt,0-0,.62658226
Lleyton Hewitt,0-15,.55932206
Lleyton Hewitt,0-30,.57692307
Lleyton Hewitt,0-40,.45454547
Lleyton Hewitt,15-0,.60606062
Lleyton Hewitt,15-15,.5138889
Lleyton Hewitt,15-30,.51999998
Lleyton Hewitt,15-40,.75862068
Lleyton Hewitt,30-0,.76666665
Lleyton Hewitt,30-15,.52941179
Lleyton Hewitt,30-30,.74000001
Lleyton Hewitt,30-40,.5714286
Lleyton Hewitt,40-0,.73913044
Lleyton Hewitt,40-15,.74358976
Lleyton Hewitt,40-30,.4893617
Lleyton Hewitt,40-40,.64197528
Lleyton Hewitt,40-50,.48275861
Lleyton Hewitt,50-40,.55769229
CB Tennis Away,0-0,.375
CB Tennis Away,0-15,0
CB Tennis Away,0-30,0
CB Tennis Away,0-40,0
CB Tennis Away,15-0,1
CB Tennis Away,30-0,1
CB Tennis Away,40-0,1
Jerzy Janowicz,0-0,.64417177
Jerzy Janowicz,0-15,.59770113
Jerzy Janowicz,0-30,.61428571
Jerzy Janowicz,0-40,.5925926
Jerzy Janowicz,15-0,.64761907
Jerzy Janowicz,15-15,.65581393
Jerzy Janowicz,15-30,.58974361
Jerzy Janowicz,15-40,.765625
Jerzy Janowicz,30-0,.67156863
Jerzy Janowicz,30-15,.56730771
Jerzy Janowicz,30-30,.6163522
Jerzy Janowicz,30-40,.61818182
Jerzy Janowicz,40-0,.67153287
Jerzy Janowicz,40-15,.66871166
Jerzy Janowicz,40-30,.65131581
Jerzy Janowicz,40-40,.63967609
Jerzy Janowicz,40-50,.68539327
Jerzy Janowicz,50-40,.58860761
Darian King,0-0,.14285715
Darian King,0-15,.66666669
Darian King,0-30,.5
Darian King,0-40,1
Darian King,15-0,1
Darian King,15-15,.5
Darian King,15-30,.33333334
Darian King,15-40,.66666669
Darian King,30-0,1
Darian King,30-15,.5
Darian King,30-30,.5
Darian King,30-40,.33333334
Darian King,40-0,1
Darian King,40-15,0
Darian King,40-30,.5
Darian King,40-40,0
Darian King,40-50,0
Aleksandr Nedovyesov,0-0,.53846157
Aleksandr Nedovyesov,0-15,.5
Aleksandr Nedovyesov,0-30,.83333331
Aleksandr Nedovyesov,0-40,1
Aleksandr Nedovyesov,15-0,.78571427
Aleksandr Nedovyesov,15-15,.44444445
Aleksandr Nedovyesov,15-30,.5
Aleksandr Nedovyesov,15-40,.66666669
Aleksandr Nedovyesov,30-0,.81818181
Aleksandr Nedovyesov,30-15,.66666669
Aleksandr Nedovyesov,30-30,.71428573
Aleksandr Nedovyesov,30-40,.33333334
Aleksandr Nedovyesov,40-0,.77777779
Aleksandr Nedovyesov,40-15,.83333331
Aleksandr Nedovyesov,40-30,.83333331
Aleksandr Nedovyesov,40-40,.5714286
Aleksandr Nedovyesov,40-50,.33333334
Aleksandr Nedovyesov,50-40,.25
Ernests Gulbis,0-0,.63846153
Ernests Gulbis,0-15,.6241135
Ernests Gulbis,0-30,.49056605
Ernests Gulbis,0-40,.62962961
Ernests Gulbis,15-0,.56626505
Ernests Gulbis,15-15,.61734694
Ernests Gulbis,15-30,.61386138
Ernests Gulbis,15-40,.6785714
Ernests Gulbis,30-0,.70212764
Ernests Gulbis,30-15,.66871166
Ernests Gulbis,30-30,.60344827
Ernests Gulbis,30-40,.64285713
Ernests Gulbis,40-0,.64646465
Ernests Gulbis,40-15,.65277779
Ernests Gulbis,40-30,.55833334
Ernests Gulbis,40-40,.62886596
Ernests Gulbis,40-50,.54166669
Ernests Gulbis,50-40,.60655737
Alexandre Sidorenko,0-0,.77777779
Alexandre Sidorenko,0-15,0
Alexandre Sidorenko,0-30,0
Alexandre Sidorenko,0-40,.5
Alexandre Sidorenko,15-0,.42857143
Alexandre Sidorenko,15-15,.25
Alexandre Sidorenko,15-30,.33333334
Alexandre Sidorenko,15-40,.33333334
Alexandre Sidorenko,30-0,1
Alexandre Sidorenko,30-15,0
Alexandre Sidorenko,30-30,1
Alexandre Sidorenko,30-40,0
Alexandre Sidorenko,40-0,.66666669
Alexandre Sidorenko,40-15,1
Alexandre Sidorenko,40-30,.5
Alexandre Sidorenko,40-40,1
Alexandre Sidorenko,50-40,.5
Albert Ramos,0-0,.64851487
Albert Ramos,0-15,.61971831
Albert Ramos,0-30,.77777779
Albert Ramos,0-40,.83333331
Albert Ramos,15-0,.6793893
Albert Ramos,15-15,.61627907
Albert Ramos,15-30,.57407409
Albert Ramos,15-40,.42857143
Albert Ramos,30-0,.6179775
Albert Ramos,30-15,.68965518
Albert Ramos,30-30,.67241377
Albert Ramos,30-40,.54838711
Albert Ramos,40-0,.72727275
Albert Ramos,40-15,.68000001
Albert Ramos,40-30,.6825397
Albert Ramos,40-40,.60294116
Albert Ramos,40-50,.77777779
Albert Ramos,50-40,.75609756
Daniel Elahi Galan Riveros,0-0,.89999998
Daniel Elahi Galan Riveros,0-15,1
Daniel Elahi Galan Riveros,15-0,.66666669
Daniel Elahi Galan Riveros,15-15,.75
Daniel Elahi Galan Riveros,15-30,1
Daniel Elahi Galan Riveros,30-0,.83333331
Daniel Elahi Galan Riveros,30-15,.75
Daniel Elahi Galan Riveros,30-30,.5
Daniel Elahi Galan Riveros,30-40,1
Daniel Elahi Galan Riveros,40-0,.60000002
Daniel Elahi Galan Riveros,40-15,.40000001
Daniel Elahi Galan Riveros,40-30,.75
Daniel Elahi Galan Riveros,40-40,.25
Daniel Elahi Galan Riveros,40-50,.66666669
Daniel Elahi Galan Riveros,50-40,1
Dudi Sela,0-0,.62037039
Dudi Sela,0-15,.46341464
Dudi Sela,0-30,.63636363
Dudi Sela,0-40,.625
Dudi Sela,15-0,.63432837
Dudi Sela,15-15,.63218391
Dudi Sela,15-30,.56666666
Dudi Sela,15-40,.66666669
Dudi Sela,30-0,.63529414
Dudi Sela,30-15,.67441863
Dudi Sela,30-30,.64516127
Dudi Sela,30-40,.65217394
Dudi Sela,40-0,.64814812
Dudi Sela,40-15,.58441556
Dudi Sela,40-30,.58333331
Dudi Sela,40-40,.53773582
Dudi Sela,40-50,.46938777
Dudi Sela,50-40,.59649122
Eilas Ymer,0-0,.66666669
Eilas Ymer,0-15,.33333334
Eilas Ymer,0-30,0
Eilas Ymer,0-40,.5
Eilas Ymer,15-0,.33333334
Eilas Ymer,15-15,.80000001
Eilas Ymer,15-30,0
Eilas Ymer,15-40,0
Eilas Ymer,30-0,0
Eilas Ymer,30-15,.33333334
Eilas Ymer,30-30,.75
Eilas Ymer,30-40,0
Eilas Ymer,40-15,.5
Eilas Ymer,40-30,.5
Eilas Ymer,40-40,.5
Eilas Ymer,40-50,0
Eilas Ymer,50-40,1
Evgeny Donskoy,0-0,.66101694
Evgeny Donskoy,0-15,.625
Evgeny Donskoy,0-30,.66666669
Evgeny Donskoy,0-40,.40000001
Evgeny Donskoy,15-0,.62820512
Evgeny Donskoy,15-15,.68518519
Evgeny Donskoy,15-30,.51851851
Evgeny Donskoy,15-40,.66666669
Evgeny Donskoy,30-0,.75510204
Evgeny Donskoy,30-15,.51020408
Evgeny Donskoy,30-30,.52631581
