returnername,gamescore,returnPointProbability_top20,opponentScore,playerscore
Di Wu,0-15,.55555558,0,1
Di Wu,0-30,.80000001,0,2
Di Wu,0-40,.25,0,3
Di Wu,15-0,.41176471,1,0
Di Wu,15-15,.36363637,1,1
Di Wu,15-30,.60000002,1,2
Di Wu,15-40,.66666669,1,3
Di Wu,30-0,.30000001,2,0
Di Wu,30-15,.40000001,2,1
Di Wu,30-30,.33333334,2,2
Di Wu,30-40,.5,2,3
Di Wu,40-0,.2857143,3,0
Di Wu,40-15,.25,3,1
Di Wu,40-30,.16666667,3,2
Di Wu,40-40,0,3,3
Di Wu,50-40,0,4,3
Diego Schwartzman,0-0,.34210527,0,0
Diego Schwartzman,0-15,.07692308,0,1
Diego Schwartzman,0-30,0,0,2
Diego Schwartzman,15-0,.36000001,1,0
Diego Schwartzman,15-15,.095238097,1,1
Diego Schwartzman,15-30,.66666669,1,2
Diego Schwartzman,15-40,1,1,3
Diego Schwartzman,30-0,.375,2,0
Diego Schwartzman,30-15,.23999999,2,1
Diego Schwartzman,30-30,.71428573,2,2
Diego Schwartzman,30-40,.40000001,2,3
Diego Schwartzman,40-0,.1,3,0
Diego Schwartzman,40-15,.2,3,1
Diego Schwartzman,40-30,.66666669,3,2
Diego Schwartzman,40-40,.5,3,3
Diego Schwartzman,40-50,.33333334,3,4
Diego Schwartzman,50-40,.16666667,4,3
Diego Sebastian Schwartzman,0-0,.28333333,0,0
Diego Sebastian Schwartzman,0-15,.47058824,0,1
Diego Sebastian Schwartzman,0-30,.25,0,2
Diego Sebastian Schwartzman,0-40,.5,0,3
Diego Sebastian Schwartzman,15-0,.18604651,1,0
Diego Sebastian Schwartzman,15-15,.41176471,1,1
Diego Sebastian Schwartzman,15-30,.38461539,1,2
Diego Sebastian Schwartzman,15-40,.66666669,1,3
Diego Sebastian Schwartzman,30-0,.34285715,2,0
Diego Sebastian Schwartzman,30-15,.31818181,2,1
Diego Sebastian Schwartzman,30-30,.40000001,2,2
Diego Sebastian Schwartzman,30-40,.125,2,3
Diego Sebastian Schwartzman,40-0,.39130434,3,0
Diego Sebastian Schwartzman,40-15,.41666666,3,1
Diego Sebastian Schwartzman,40-30,.36842105,3,2
Diego Sebastian Schwartzman,40-40,.48148149,3,3
Diego Sebastian Schwartzman,40-50,.46153846,3,4
Diego Sebastian Schwartzman,50-40,.42857143,4,3
Dominic Thiem,0-0,.35514018,0,0
Dominic Thiem,0-15,.31578946,0,1
Dominic Thiem,0-30,.58333331,0,2
Dominic Thiem,0-40,.14285715,0,3
Dominic Thiem,15-0,.30434781,1,0
Dominic Thiem,15-15,.38297874,1,1
Dominic Thiem,15-30,.30434781,1,2
Dominic Thiem,15-40,.15384616,1,3
Dominic Thiem,30-0,.29166666,2,0
Dominic Thiem,30-15,.39534885,2,1
Dominic Thiem,30-30,.36363637,2,2
Dominic Thiem,30-40,.26086956,2,3
Dominic Thiem,40-0,.20588236,3,0
Dominic Thiem,40-15,.24242425,3,1
Dominic Thiem,40-30,.20689656,3,2
Dominic Thiem,40-40,.42222223,3,3
Dominic Thiem,40-50,.42105263,3,4
Dominic Thiem,50-40,.42307693,4,3
Donald Young,0-0,.27777779,0,0
Donald Young,0-15,.25714287,0,1
Donald Young,0-30,.44444445,0,2
Donald Young,0-40,.25,0,3
Donald Young,15-0,.3956044,1,0
Donald Young,15-15,.43548387,1,1
Donald Young,15-30,.46875,1,2
Donald Young,15-40,.33333334,1,3
Donald Young,30-0,.34545454,2,0
Donald Young,30-15,.35185185,2,1
Donald Young,30-30,.30555555,2,2
Donald Young,30-40,.52173913,2,3
Donald Young,40-0,.25,3,0
Donald Young,40-15,.34090909,3,1
Donald Young,40-30,.47499999,3,2
Donald Young,40-40,.45588234,3,3
