yearmonth,serverid,servername,gamescore,year,topn,rankGroupsReturner,rankGroupsServer,ones,serverProbability,serverFrequency
201207,10,Jan Hajek,15-40,2012,100,1,6,1,.42857143,14
201307,10,Jan Hajek,15-40,2013,100,4,11,1,.6785714,28
201207,10,Jan Hajek,30-0,2012,100,1,6,1,.71875,32
201305,10,Jan Hajek,30-0,2013,100,2,11,1,.61363637,44
201207,10,Jan Hajek,30-15,2012,100,1,6,1,.60606062,33
201307,10,Jan Hajek,30-15,2013,100,4,11,1,.53191489,47
201210,10,Jan Hajek,30-30,2012,100,6,11,1,.71428573,28
201301,10,Jan Hajek,30-30,2013,100,2,11,1,.52083331,48
201210,10,Jan Hajek,30-40,2012,100,6,11,1,.64285713,14
201303,10,Jan Hajek,30-40,2013,100,6,6,1,.76190478,42
201207,10,Jan Hajek,40-0,2012,100,3,6,1,.56521738,23
201307,10,Jan Hajek,40-0,2013,100,1,11,1,.81481481,27
201207,10,Jan Hajek,40-15,2012,100,3,6,1,.56666666,30
201301,10,Jan Hajek,40-15,2013,100,2,11,1,.63333333,30
201207,10,Jan Hajek,40-30,2012,100,3,6,1,.60606062,33
201305,10,Jan Hajek,40-30,2013,100,6,11,1,.6111111,36
201210,10,Jan Hajek,40-40,2012,100,3,11,1,.36363637,22
201301,10,Jan Hajek,40-40,2013,100,2,11,1,.60869563,46
201208,10,Jan Hajek,40-50,2012,100,6,6,1,.5714286,14
201305,10,Jan Hajek,40-50,2013,100,2,11,1,.68181819,22
201207,10,Jan Hajek,50-40,2012,100,6,6,1,.8125,16
201305,10,Jan Hajek,50-40,2013,100,2,11,1,.72222221,36
201109,11,Florian Mayer,0-0,2011,100,5,3,1,.59677422,124
201201,11,Florian Mayer,0-0,2012,100,6,3,1,.66909093,275
201305,11,Florian Mayer,0-0,2013,100,5,3,1,.63909775,399
201401,11,Florian Mayer,0-0,2014,100,6,3,1,.67289722,107
201505,11,Florian Mayer,0-0,2015,100,2,9999,1,.64044946,89
201108,11,Florian Mayer,0-15,2011,100,2,3,1,.38,50
201210,11,Florian Mayer,0-15,2012,100,5,3,1,.63736266,91
201305,11,Florian Mayer,0-15,2013,100,2,3,1,.65972221,144
201401,11,Florian Mayer,0-15,2014,100,6,3,1,.54285717,35
201504,11,Florian Mayer,0-15,2015,100,4,9999,1,.5625,32
201111,11,Florian Mayer,0-30,2011,100,2,3,1,.67741936,31
201204,11,Florian Mayer,0-30,2012,100,6,2,1,.54545456,33
201302,11,Florian Mayer,0-30,2013,100,2,3,1,.6122449,49
201401,11,Florian Mayer,0-30,2014,100,6,3,1,.375,16
201506,11,Florian Mayer,0-30,2015,100,4,9999,1,.64285713,14
201109,11,Florian Mayer,0-40,2011,100,6,3,1,.69999999,10
201207,11,Florian Mayer,0-40,2012,100,1,3,1,.33333334,15
201308,11,Florian Mayer,0-40,2013,100,1,5,1,.57894737,19
201401,11,Florian Mayer,0-40,2014,100,6,3,1,.69999999,10
201504,11,Florian Mayer,0-40,2015,100,6,9999,1,.2,5
201109,11,Florian Mayer,15-0,2011,100,5,3,1,.6081081,74
201201,11,Florian Mayer,15-0,2012,100,6,3,1,.70652175,184
201305,11,Florian Mayer,15-0,2013,100,6,3,1,.57254905,255
201401,11,Florian Mayer,15-0,2014,100,1,3,1,.52777779,72
201504,11,Florian Mayer,15-0,2015,100,4,9999,1,.54385966,57
201110,11,Florian Mayer,15-15,2011,100,6,3,1,.66666669,48
201210,11,Florian Mayer,15-15,2012,100,5,3,1,.6160714,112
201310,11,Florian Mayer,15-15,2013,100,3,5,1,.627451,204
201401,11,Florian Mayer,15-15,2014,100,6,3,1,.56603771,53
201504,11,Florian Mayer,15-15,2015,100,4,9999,1,.56818181,44
201111,11,Florian Mayer,15-30,2011,100,2,3,1,.54054052,37
