servername,gamescore,servePointProbability_top20,servePointFreq_top20,playerScore,opponentScore
Andrey Rublev,105-104,0,1,7,7
Andrey Rublev,105-105,.5,2,7,7
Andrey Rublev,106-107,1,1,8,8
Andrey Rublev,107-107,0,1,8,8
Andrey Rublev,15-0,.69444442,36,1,0
Andrey Rublev,15-15,.65217394,23,1,1
Andrey Rublev,15-30,.5,12,1,2
Andrey Rublev,15-40,1,6,1,3
Andrey Rublev,30-0,.80000001,25,2,0
Andrey Rublev,30-15,.85000002,20,2,1
Andrey Rublev,30-30,.55555558,9,2,2
Andrey Rublev,30-40,.60000002,10,2,3
Andrey Rublev,40-0,.44999999,20,3,0
Andrey Rublev,40-15,.75,28,3,1
Andrey Rublev,40-30,.58333331,12,3,2
Andrey Rublev,40-40,.7647059,17,3,3
Andrey Rublev,40-50,.5,4,3,4
Andrey Rublev,50-40,.69230771,13,4,3
Andy Murray,0-0,.61662197,373,0,0
Andy Murray,0-15,.55944055,143,0,1
Andy Murray,0-30,.46031746,63,0,2
Andy Murray,0-40,.52941179,34,0,3
Andy Murray,100-100,1,3,7,7
Andy Murray,100-101,.33333334,3,7,7
Andy Murray,100-102,.5,2,7,7
Andy Murray,101-100,1,2,7,7
Andy Murray,101-101,1,1,7,7
Andy Murray,101-102,0,2,7,7
Andy Murray,101-103,1,2,7,7
Andy Murray,101-104,1,2,7,7
Andy Murray,102-100,.5,2,7,7
Andy Murray,102-101,1,1,7,7
Andy Murray,102-104,0,2,7,7
Andy Murray,102-105,1,1,7,7
Andy Murray,103-101,0,1,7,7
Andy Murray,103-102,1,2,7,7
Andy Murray,103-104,.5,2,7,7
Andy Murray,103-105,1,2,7,7
Andy Murray,103-106,.5,2,7,8
Andy Murray,104-101,1,1,7,7
Andy Murray,104-102,0,2,7,7
Andy Murray,104-104,1,1,7,7
Andy Murray,104-105,.5,2,7,7
Andy Murray,104-106,0,2,7,8
Andy Murray,105-101,1,1,7,7
Andy Murray,105-105,0,1,7,7
Andy Murray,105-106,1,2,7,8
Andy Murray,106-103,0,1,8,7
Andy Murray,106-104,1,1,8,7
Andy Murray,106-106,.5,2,8,8
Andy Murray,108-107,1,1,8,8
Andy Murray,15-0,.66086954,230,1,0
Andy Murray,15-15,.65822786,158,1,1
Andy Murray,15-30,.55421686,83,1,2
Andy Murray,15-40,.56363636,55,1,3
Andy Murray,30-0,.68421054,152,2,0
Andy Murray,30-15,.59868419,152,2,1
Andy Murray,30-30,.51401871,107,2,2
Andy Murray,30-40,.67469877,83,2,3
Andy Murray,40-0,.64423078,104,3,0
Andy Murray,40-15,.59375,128,3,1
Andy Murray,40-30,.59813082,107,3,2
Andy Murray,40-40,.65591395,186,3,3
Andy Murray,40-50,.609375,64,3,4
Andy Murray,50-40,.60655737,122,4,3
Austin Krajicek,0-0,.63793105,58,0,0
Austin Krajicek,0-15,.47619048,21,0,1
Austin Krajicek,0-30,.63636363,11,0,2
Austin Krajicek,0-40,.5,4,0,3
Austin Krajicek,100-101,0,1,7,7
Austin Krajicek,100-102,1,1,7,7
Austin Krajicek,101-104,1,1,7,7
Austin Krajicek,102-104,1,1,7,7
Austin Krajicek,104-105,1,1,7,7
Austin Krajicek,105-105,1,1,7,7
Austin Krajicek,106-107,0,1,8,8
Austin Krajicek,15-0,.67567569,37,1,0
Austin Krajicek,15-15,.77272725,22,1,1
Austin Krajicek,15-30,.83333331,12,1,2
Austin Krajicek,15-40,.75,4,1,3
Austin Krajicek,30-0,.83999997,25,2,0
Austin Krajicek,30-15,.66666669,21,2,1
Austin Krajicek,30-30,.52941179,17,2,2
Austin Krajicek,30-40,.81818181,11,2,3
Austin Krajicek,40-0,.66666669,21,3,0
Austin Krajicek,40-15,.80952382,21,3,1
Austin Krajicek,40-30,.53846157,13,3,2
Austin Krajicek,40-40,.65517241,29,3,3
Austin Krajicek,40-50,.69999999,10,3,4
Austin Krajicek,50-40,.63157892,19,4,3
Bastian Trinker,0-0,.375,8,0,0
Bastian Trinker,0-15,.60000002,5,0,1
Bastian Trinker,0-30,0,2,0,2
Bastian Trinker,0-40,.5,2,0,3
Bastian Trinker,15-0,.66666669,3,1,0
Bastian Trinker,15-15,.25,4,1,1
Bastian Trinker,15-30,1,3,1,2
Bastian Trinker,15-40,1,1,1,3
Bastian Trinker,30-0,1,2,2,0
Bastian Trinker,30-15,1,1,2,1
Bastian Trinker,30-30,1,3,2,2
Bastian Trinker,30-40,1,1,2,3
Bastian Trinker,40-0,0,2,3,0
Bastian Trinker,40-15,1,3,3,1
Bastian Trinker,40-30,.66666669,3,3,2
Bastian Trinker,40-40,.25,4,3,3
Bastian Trinker,40-50,.66666669,3,3,4
Bastian Trinker,50-40,1,1,4,3
Benjamin Balleret,0-0,.44444445,9,0,0
Benjamin Balleret,0-15,.60000002,5,0,1
Benjamin Balleret,0-30,.5,2,0,2
Benjamin Balleret,0-40,0,1,0,3
Benjamin Balleret,15-0,1,4,1,0
Benjamin Balleret,15-15,1,3,1,1
Benjamin Balleret,15-30,0,1,1,2
Benjamin Balleret,15-40,1,1,1,3
Benjamin Balleret,30-0,.25,4,2,0
Benjamin Balleret,30-15,.83333331,6,2,1
Benjamin Balleret,30-30,0,1,2,2
Benjamin Balleret,30-40,0,2,2,3
Benjamin Balleret,40-0,1,1,3,0
Benjamin Balleret,40-15,.80000001,5,3,1
Benjamin Balleret,40-30,0,1,3,2
Benjamin Balleret,40-40,0,2,3,3
Benjamin Balleret,40-50,.5,2,3,4
Benjamin Becker,0-0,.63636363,55,0,0
Benjamin Becker,0-15,.64999998,20,0,1
Benjamin Becker,0-30,.71428573,7,0,2
Benjamin Becker,0-40,.5,2,0,3
Benjamin Becker,100-100,1,1,7,7
Benjamin Becker,101-102,1,1,7,7
Benjamin Becker,102-102,0,1,7,7
Benjamin Becker,102-105,1,1,7,7
Benjamin Becker,103-105,1,1,7,7
Benjamin Becker,105-106,1,1,7,8
Benjamin Becker,106-106,1,1,8,8
Benjamin Becker,15-0,.5714286,35,1,0
Benjamin Becker,15-15,.5714286,28,1,1
Benjamin Becker,15-30,.70588237,17,1,2
Benjamin Becker,15-40,.83333331,6,1,3
Benjamin Becker,30-0,.60000002,20,2,0
Benjamin Becker,30-15,.54166669,24,2,1
Benjamin Becker,30-30,.73913044,23,2,2
Benjamin Becker,30-40,.72727275,11,2,3
Benjamin Becker,40-0,.91666669,12,3,0
Benjamin Becker,40-15,.71428573,14,3,1
Benjamin Becker,40-30,.80952382,21,3,2
Benjamin Becker,40-40,.72222221,18,3,3
Benjamin Becker,40-50,.80000001,5,3,4
Benjamin Becker,50-40,.84615386,13,4,3
Benoit Paire,0-0,.66666669,129,0,0
Benoit Paire,0-15,.69767439,43,0,1
Benoit Paire,0-30,.69230771,13,0,2
Benoit Paire,0-40,.5,4,0,3
Benoit Paire,100-101,1,1,7,7
Benoit Paire,101-100,1,1,7,7
Benoit Paire,101-101,0,1,7,7
Benoit Paire,102-100,1,1,7,7
Benoit Paire,102-103,0,1,7,7
Benoit Paire,102-104,0,1,7,7
Benoit Paire,103-102,1,1,7,7
Benoit Paire,103-106,1,1,7,8
Benoit Paire,104-102,1,1,7,7
Benoit Paire,104-106,1,1,7,8
Benoit Paire,105-104,1,1,7,7
Benoit Paire,106-104,0,1,8,7
Benoit Paire,106-107,0,1,8,8
Benoit Paire,15-0,.58139533,86,1,0
