returnerid,returnername,gamescore,topn,ones,returnerProbability,returnerFrequency
53,Viktor Galovic,0-0,100,1,.5,16
53,Viktor Galovic,0-15,100,1,.875,8
53,Viktor Galovic,0-30,100,1,1,1
53,Viktor Galovic,15-0,100,1,.25,8
53,Viktor Galovic,15-15,100,1,.53846157,13
53,Viktor Galovic,15-30,100,1,.71428573,7
53,Viktor Galovic,15-40,100,1,0,2
53,Viktor Galovic,30-0,100,1,1,2
53,Viktor Galovic,30-15,100,1,.5714286,7
53,Viktor Galovic,30-30,100,1,.75,8
53,Viktor Galovic,30-40,100,1,0,2
53,Viktor Galovic,40-0,100,1,1,2
53,Viktor Galovic,40-15,100,1,.75,4
53,Viktor Galovic,40-30,100,1,.2857143,7
53,Viktor Galovic,40-40,100,1,.60000002,5
53,Viktor Galovic,40-50,100,1,0,2
53,Viktor Galovic,50-40,100,1,1,3
54,Dustin Brown,0-0,100,1,.6368078,614
54,Dustin Brown,0-15,100,1,.63677132,223
54,Dustin Brown,0-30,100,1,.62962961,81
54,Dustin Brown,0-40,100,1,.53333336,30
54,Dustin Brown,15-0,100,1,.61381072,391
54,Dustin Brown,15-15,100,1,.68600684,293
54,Dustin Brown,15-30,100,1,.66433567,143
54,Dustin Brown,15-40,100,1,.640625,64
54,Dustin Brown,30-0,100,1,.69583333,240
54,Dustin Brown,30-15,100,1,.64963502,274
54,Dustin Brown,30-30,100,1,.63350785,191
54,Dustin Brown,30-40,100,1,.6936937,111
54,Dustin Brown,40-0,100,1,.64071858,167
54,Dustin Brown,40-15,100,1,.70588237,238
54,Dustin Brown,40-30,100,1,.58115184,191
54,Dustin Brown,40-40,100,1,.61783439,157
54,Dustin Brown,40-50,100,1,.58974361,78
54,Dustin Brown,50-40,100,1,.67716533,127
56,Carlos Salamanca,0-0,100,1,.8888889,9
56,Carlos Salamanca,0-15,100,1,1,1
56,Carlos Salamanca,15-0,100,1,.75,8
56,Carlos Salamanca,15-15,100,1,0,3
56,Carlos Salamanca,15-30,100,1,.66666669,3
56,Carlos Salamanca,15-40,100,1,1,1
56,Carlos Salamanca,30-0,100,1,.83333331,6
56,Carlos Salamanca,30-15,100,1,0,1
56,Carlos Salamanca,30-30,100,1,.33333334,3
56,Carlos Salamanca,30-40,100,1,.66666669,3
56,Carlos Salamanca,40-0,100,1,.2,5
